RecordType,HaulID,Species,ELSampleFlag ,IndividualNumber,Length,DevScale,DevStage,Number,SubFactor,SpecIdentMethod ,OilGlobulesFlag ,OilGlobulesNumber ,OilGlobulesDiam,PreservationMethod,Notes,
EM,        2018NL012,Clupea harengus,LV,,20,MN1,l,1,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,21,MN1,l,1,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,22,MN1,l,4,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,23,MN1,l,2,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,24,MN1,l,12,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,25,MN1,l,9,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,26,MN1,l,11,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,27,MN1,l,2,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,28,MN1,l,5,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,29,MN1,l,1,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,30,MN1,l,2,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,32,MN1,l,1,2.803921569,visual,N,,,F4B,,
EM,        2018NL012,Clupea harengus,LV,,0,MN1,l,10,1,visual,N,,,F4B,Larvae damaged could not be measured,
EM,        2018NL013,Clupea harengus,LV,,23,MN1,l,5,4.04,visual,N,,,F4B,,
EM,        2018NL013,Clupea harengus,LV,,24,MN1,l,13,4.04,visual,N,,,F4B,,
EM,        2018NL013,Clupea harengus,LV,,25,MN1,l,12,4.04,visual,N,,,F4B,,
EM,        2018NL013,Clupea harengus,LV,,26,MN1,l,7,4.04,visual,N,,,F4B,,
EM,        2018NL013,Clupea harengus,LV,,27,MN1,l,7,4.04,visual,N,,,F4B,,
EM,        2018NL013,Clupea harengus,LV,,28,MN1,l,2,4.04,visual,N,,,F4B,,
EM,        2018NL013,Clupea harengus,LV,,29,MN1,l,1,4.04,visual,N,,,F4B,,
EM,        2018NL013,Clupea harengus,LV,,30,MN1,l,2,4.04,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,22,MN1,l,5,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,23,MN1,l,7,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,24,MN1,l,7,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,25,MN1,l,7,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,26,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,27,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,28,MN1,l,7,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,29,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,30,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,31,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,32,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL014,Clupea harengus,LV,,0,MN1,l,2,1,visual,N,,,F4B,Larvae damaged could not be measured,
EM,        2018NL015,Clupea harengus,LV,,22,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL015,Clupea harengus,LV,,26,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL015,Clupea harengus,LV,,30,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL015,Clupea harengus,LV,,0,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL015,Clupea harengus,LV,,0,MN1,l,18,1,visual,N,,,F4B,Larvae damaged could not be measured,
EM,        2018NL016,Clupea harengus,LV,,20,MN1,l,1,1.963636364,visual,N,,,Fresh,,
EM,        2018NL016,Clupea harengus,LV,,21,MN1,l,10,1.963636364,visual,N,,,Fresh,,
EM,        2018NL016,Clupea harengus,LV,,22,MN1,l,4,1.963636364,visual,N,,,Fresh,,
EM,        2018NL016,Clupea harengus,LV,,23,MN1,l,10,1.963636364,visual,N,,,Fresh,,
EM,        2018NL016,Clupea harengus,LV,,24,MN1,l,4,1.963636364,visual,N,,,Fresh,,
EM,        2018NL016,Clupea harengus,LV,,25,MN1,l,9,1.963636364,visual,N,,,Fresh,,
EM,        2018NL016,Clupea harengus,LV,,26,MN1,l,5,1.963636364,visual,N,,,Fresh,,
EM,        2018NL016,Clupea harengus,LV,,27,MN1,l,3,1.963636364,visual,N,,,Fresh,,
EM,        2018NL016,Clupea harengus,LV,,28,MN1,l,4,1.963636364,visual,N,,,Fresh,,
EM,        2018NL016,Clupea harengus,LV,,0,MN1,l,13,8.307692308,visual,N,,,Fresh,Larvae damaged could not be measured,
EM,        2018NL017,Clupea harengus,LV,,19,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL017,Clupea harengus,LV,,21,MN1,l,3,1,visual,N,,,Fresh,,
EM,        2018NL017,Clupea harengus,LV,,22,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL017,Clupea harengus,LV,,23,MN1,l,4,1,visual,N,,,Fresh,,
EM,        2018NL017,Clupea harengus,LV,,24,MN1,l,3,1,visual,N,,,Fresh,,
EM,        2018NL017,Clupea harengus,LV,,25,MN1,l,3,1,visual,N,,,Fresh,,
EM,        2018NL017,Clupea harengus,LV,,27,MN1,l,3,1,visual,N,,,Fresh,,
EM,        2018NL017,Clupea harengus,LV,,28,MN1,l,2,1,visual,N,,,Fresh,,
EM,        2018NL017,Clupea harengus,LV,,29,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL017,Clupea harengus,LV,,0,MN1,l,2,1,visual,N,,,Fresh,,
EM,        2018NL019,Clupea harengus,LV,,23,MN1,l,2,1,visual,N,,,Fresh,,
EM,        2018NL019,Clupea harengus,LV,,24,MN1,l,3,1,visual,N,,,Fresh,,
EM,        2018NL019,Clupea harengus,LV,,25,MN1,l,4,1,visual,N,,,Fresh,,
EM,        2018NL019,Clupea harengus,LV,,27,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL019,Clupea harengus,LV,,28,MN1,l,3,1,visual,N,,,Fresh,,
EM,        2018NL020,Clupea harengus,LV,,21,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL020,Clupea harengus,LV,,22,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL020,Clupea harengus,LV,,26,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL020,Clupea harengus,LV,,29,MN1,l,2,1,visual,N,,,Fresh,,
EM,        2018NL020,Clupea harengus,LV,,30,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL020,Clupea harengus,LV,,31,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL020,Clupea harengus,LV,,35,MN1,l,2,1,visual,N,,,Fresh,,
EM,        2018NL020,Clupea harengus,LV,,38,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL021,Clupea harengus,LV,,27,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL021,Clupea harengus,LV,,28,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL021,Clupea harengus,LV,,31,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL021,Clupea harengus,LV,,32,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL021,Clupea harengus,LV,,34,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL021,Clupea harengus,LV,,35,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL022,Clupea harengus,LV,,25,MN1,l,2,1,visual,N,,,Fresh,,
EM,        2018NL022,Clupea harengus,LV,,27,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL022,Clupea harengus,LV,,32,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL022,Clupea harengus,LV,,37,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL022,Clupea harengus,LV,,0,MN1,l,1,1,visual,N,,,Fresh,Larvae damaged could not be measured,
EM,        2018NL023,Clupea harengus,LV,,24,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,25,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,27,MN1,l,4,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,28,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,29,MN1,l,6,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,32,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,33,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,34,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,36,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,37,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,38,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL023,Clupea harengus,LV,,0,MN1,l,1,1,visual,N,,,F4B,Larvae damaged could not be measured,
EM,        2018NL024,Clupea harengus,LV,,27,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL024,Clupea harengus,LV,,30,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL024,Clupea harengus,LV,,31,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL024,Clupea harengus,LV,,32,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL024,Clupea harengus,LV,,35,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL024,Clupea harengus,LV,,36,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL024,Clupea harengus,LV,,37,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL024,Clupea harengus,LV,,38,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL025,Clupea harengus,LV,,33,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL025,Clupea harengus,LV,,34,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL025,Clupea harengus,LV,,35,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL025,Clupea harengus,LV,,36,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL025,Clupea harengus,LV,,37,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL025,Clupea harengus,LV,,38,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL025,Clupea harengus,LV,,39,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL026,Clupea harengus,LV,,33,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL026,Clupea harengus,LV,,34,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL026,Clupea harengus,LV,,36,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL026,Clupea harengus,LV,,38,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL027,Clupea harengus,LV,,32,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL027,Clupea harengus,LV,,33,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL027,Clupea harengus,LV,,34,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL027,Clupea harengus,LV,,36,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL027,Clupea harengus,LV,,38,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL029,Clupea harengus,LV,,37,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL029,Clupea harengus,LV,,37,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL030,Clupea harengus,LV,,22,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL030,Clupea harengus,LV,,34,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL031,Clupea harengus,LV,,25,MN1,l,2,1,visual,N,,,Fresh,,
EM,        2018NL031,Clupea harengus,LV,,25,MN1,l,2,1,visual,N,,,Fresh,,
EM,        2018NL032,Clupea harengus,LV,,24,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL032,Clupea harengus,LV,,24,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL033,Clupea harengus,LV,,21,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL033,Clupea harengus,LV,,23,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL033,Clupea harengus,LV,,25,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL033,Clupea harengus,LV,,28,MN1,l,1,1,visual,N,,,Fresh,,
EM,        2018NL034,Clupea harengus,LV,,19,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,20,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,21,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,22,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,23,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,24,MN1,l,9,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,25,MN1,l,10,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,26,MN1,l,4,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,27,MN1,l,5,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,28,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL034,Clupea harengus,LV,,30,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL035,Clupea harengus,LV,,22,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL035,Clupea harengus,LV,,23,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL035,Clupea harengus,LV,,24,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL035,Clupea harengus,LV,,25,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL035,Clupea harengus,LV,,26,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL035,Clupea harengus,LV,,27,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL036,Clupea harengus,LV,,23,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL036,Clupea harengus,LV,,24,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL036,Clupea harengus,LV,,25,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL036,Clupea harengus,LV,,36,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL037,Clupea harengus,LV,,21,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL037,Clupea harengus,LV,,22,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL037,Clupea harengus,LV,,23,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL037,Clupea harengus,LV,,24,MN1,l,9,1,visual,N,,,F4B,,
EM,        2018NL037,Clupea harengus,LV,,25,MN1,l,8,1,visual,N,,,F4B,,
EM,        2018NL037,Clupea harengus,LV,,26,MN1,l,4,1,visual,N,,,F4B,,
EM,        2018NL037,Clupea harengus,LV,,27,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL037,Clupea harengus,LV,,29,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL037,Clupea harengus,LV,,36,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL038,Clupea harengus,LV,,22,MN1,l,2,2.96,visual,N,,,F4B,,
EM,        2018NL038,Clupea harengus,LV,,23,MN1,l,4,2.96,visual,N,,,F4B,,
EM,        2018NL038,Clupea harengus,LV,,24,MN1,l,6,2.96,visual,N,,,F4B,,
EM,        2018NL038,Clupea harengus,LV,,25,MN1,l,19,2.96,visual,N,,,F4B,,
EM,        2018NL038,Clupea harengus,LV,,26,MN1,l,8,2.96,visual,N,,,F4B,,
EM,        2018NL038,Clupea harengus,LV,,28,MN1,l,9,2.96,visual,N,,,F4B,,
EM,        2018NL038,Clupea harengus,LV,,29,MN1,l,1,2.96,visual,N,,,F4B,,
EM,        2018NL038,Clupea harengus,LV,,31,MN1,l,1,2.96,visual,N,,,F4B,,
EM,        2018NL039,Clupea harengus,LV,,24,MN1,l,1,10.38,visual,N,,,F4B,,
EM,        2018NL039,Clupea harengus,LV,,25,MN1,l,6,10.38,visual,N,,,F4B,,
EM,        2018NL039,Clupea harengus,LV,,26,MN1,l,14,10.38,visual,N,,,F4B,,
EM,        2018NL039,Clupea harengus,LV,,27,MN1,l,9,10.38,visual,N,,,F4B,,
EM,        2018NL039,Clupea harengus,LV,,28,MN1,l,7,10.38,visual,N,,,F4B,,
EM,        2018NL039,Clupea harengus,LV,,29,MN1,l,6,10.38,visual,N,,,F4B,,
EM,        2018NL039,Clupea harengus,LV,,30,MN1,l,4,10.38,visual,N,,,F4B,,
EM,        2018NL039,Clupea harengus,LV,,31,MN1,l,2,10.38,visual,N,,,F4B,,
EM,        2018NL039,Clupea harengus,LV,,32,MN1,l,1,10.38,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,20,MN1,l,1,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,23,MN1,l,2,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,24,MN1,l,5,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,25,MN1,l,6,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,26,MN1,l,10,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,27,MN1,l,5,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,28,MN1,l,4,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,29,MN1,l,4,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,30,MN1,l,4,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,31,MN1,l,4,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,32,MN1,l,3,1.2,visual,N,,,F4B,,
EM,        2018NL040,Clupea harengus,LV,,34,MN1,l,2,1.2,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,24,MN1,l,2,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,25,MN1,l,6,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,26,MN1,l,4,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,28,MN1,l,7,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,29,MN1,l,6,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,30,MN1,l,8,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,31,MN1,l,3,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,32,MN1,l,1,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,34,MN1,l,1,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,35,MN1,l,8,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,36,MN1,l,1,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,37,MN1,l,2,6.56,visual,N,,,F4B,,
EM,        2018NL041,Clupea harengus,LV,,38,MN1,l,1,6.56,visual,N,,,F4B,,
EM,        2018NL042,Clupea harengus,LV,,23,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL042,Clupea harengus,LV,,24,MN1,l,4,1,visual,N,,,F4B,,
EM,        2018NL042,Clupea harengus,LV,,25,MN1,l,8,1,visual,N,,,F4B,,
EM,        2018NL042,Clupea harengus,LV,,27,MN1,l,4,1,visual,N,,,F4B,,
EM,        2018NL042,Clupea harengus,LV,,28,MN1,l,4,1,visual,N,,,F4B,,
EM,        2018NL042,Clupea harengus,LV,,29,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL042,Clupea harengus,LV,,0,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL043,Clupea harengus,LV,,24,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL043,Clupea harengus,LV,,25,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL043,Clupea harengus,LV,,26,MN1,l,1,1,visual,N,,,F4B,,
EM,        2018NL043,Clupea harengus,LV,,28,MN1,l,3,1,visual,N,,,F4B,,
EM,        2018NL043,Clupea harengus,LV,,29,MN1,l,2,1,visual,N,,,F4B,,
EM,        2018NL043,Clupea harengus,LV,,30,MN1,l,4,1,visual,N,,,F4B,,
EM,        2018NL044,Clupea harengus,LV,,23,MN1,l,4,2.64,visual,N,,,Fresh,,
EM,        2018NL044,Clupea harengus,LV,,24,MN1,l,3,2.64,visual,N,,,Fresh,,
