RecordType,Survey,Country,Institute,Campaign,SurveyPeriod,Ship,Gear,GearDeployment,MeshSize,MeshType,CodendMesh,StationNumber,HaulID,ELHaulFlag,NationalHaulID,Day,Month,Year,Hour,Minute,StartLatitude,StartLongitude,HaulDurationMinutes,HaulDurationSeconds,Distance,WireAngle,WireLength,Netopening,NetopeningArea,FlowEfficiency,NetClogging,FlowmeterType,FlowmeterBrand,FlowIntRevs,FlowIntCalibr,FlowExtRevs,FlowExtCalibr,VolumeFiltInt,,ELVolFlag,DepthUpper,DepthLower,DepthBottom,SurTemp,Temp20m,Temp50m,Temp100m,BotTemp,SurSal,Sal20m,BotSal,statrec,Notes,Day/night
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721915,        2018NL016,,20185400016,17,4,2018,4,24,53.85767,7.22417,12,6,767,,,2,3.141592654,1,0.60327677,EMD,Valeport,10254,8.83,6186,8.69,3648.232285,,f,0,20,25,4.9,,,,4.9,32.36,,32.51,36F7,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721916,        2018NL017,,20185400017,17,4,2018,6,0,54.22283,7.72583,10,48,867,,,2,3.141592654,1,0.358770917,EMD,Valeport,13864,8.83,4974,8.69,4932.620674,,f,0,34,39,5.01,,,,4.92,33.65,,34.56,37F7,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721917,        2018NL018,,20185400018,17,4,2018,8,41,54.75317,7.55617,10,48,911,,,2,3.141592654,1,0.371616809,EMD,Valeport,11232,8.83,4174,8.69,3996.191245,,f,0,18,23,5.28,,,,5.22,33.44,,32.96,38F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721918,        2018NL019,,20185400019,17,4,2018,11,15,55.25417,7.72167,11,48,2778,,,2,3.141592654,1,0.289654226,EMD,Valeport,14576,8.83,4222,8.69,5185.94049,,f,0,18,24,4.9,,,,4.77,32.9,,32.62,39F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721919,        2018NL020,,20185400020,17,4,2018,13,35,55.75683,7.26833,13,12,1514,,,2,3.141592654,1,0.394311979,EMD,Valeport,17405,8.83,6863,8.69,6192.459812,,f,0,23,28,5.63,,,,5.62,32.5,,32.47,40F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721920,        2018NL021,,20185400021,17,4,2018,16,6,55.87617,7.52183,11,12,1318,,,2,3.141592654,1,0.662478474,EMD,Valeport,15679,8.83,10387,8.69,5578.372732,,f,0,16,21,4.46,,,,4.4,33.48,,33.24,40F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721921,        2018NL022,,20185400022,17,4,2018,17,5,56.24267,7.70667,12,18,1321,,,2,3.141592654,1,0.573546081,EMD,Valeport,11469,8.83,6578,8.69,4080.512588,,f,0,23,29,4.45,,,,4.44,33.32,,33.37,41F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721922,        2018NL023,,20185400023,17,4,2018,18,51,56.25133,7.25333,11,24,1100,,,2,3.141592654,1,0.625351584,EMD,Valeport,10666,8.83,6670,8.69,3794.816223,,f,0,27,32,4.86,,,,4.86,34.87,,33.43,41F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721923,        2018NL024,,20185400024,17,4,2018,20,14,56.25083,6.74317,11,30,3518,,,2,3.141592654,1,0.593877394,EMD,Valeport,13001,8.83,7721,8.69,4625.577134,,f,0,34,39,4.46,,,,4.42,33.61,,33.29,41F6,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721924,        2018NL025,,20185400025,17,4,2018,21,40,56.25117,6.222,13,12,1191,,,2,3.141592654,1,1.016985687,EMD,Valeport,11598,8.83,11795,8.69,4126.409015,,f,0,38,43,4.95,,,,4.93,35,,34.89,41F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721925,        2018NL026,,20185400026,18,4,2018,2,11,56.25083,5.74017,16,12,1256,,,2,3.141592654,1,0.984648255,EMD,Valeport,12637,8.83,12443,8.69,4496.070936,,f,0,48,53,4.98,,,,4.99,35.41,,35.25,41F5,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721926,        2018NL027,,20185400027,18,4,2018,2,56,56.24233,5.2835,11,24,2960,,,2,3.141592654,1,0.655758078,EMD,Valeport,9656,8.83,6332,8.69,3435.472103,,f,0,50,56,5.13,,,,5.19,37.92,,35.32,41F5,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721927,        2018NL028,,20185400028,18,4,2018,4,23,55.77033,5.29067,13,18,1489,,,2,3.141592654,1,0.993757707,EMD,Valeport,12976,8.83,12895,8.69,4616.682478,,f,0,49,55,5.21,,,,5.21,35.17,,34.94,40F5,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721928,        2018NL029,,20185400029,18,4,2018,7,7,55.7525,5.73333,13,12,1519,,,2,3.141592654,1,0.894406904,EMD,Valeport,12283,8.83,10986,8.69,4370.122601,,f,0,46,51,4.98,,,,4.99,34.74,,34.74,40F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721929,        2018NL030,,20185400030,18,4,2018,8,5,55.7515,6.23933,11,0,1210,,,2,3.141592654,1,0.9997904,EMD,Valeport,9542,8.83,9540,8.69,3394.912469,,f,0,41,46,5.33,,,,5.35,37.11,,35.04,40F6,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721930,        2018NL031,,20185400031,18,4,2018,9,27,55.736,6.7535,11,24,1262,,,2,3.141592654,1,0.872316951,EMD,Valeport,9970,8.83,8697,8.69,3547.188988,,f,0,32,37,5.06,,,,5.07,34.56,,34.47,40F6,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721957,        2018NL032,,20185400032,18,4,2018,10,55,55.3415,7.042,11,42,1028,,,2,3.141592654,1,0.485798134,EMD,Valeport,9541,8.83,4635,8.69,3394.556683,,f,0,26,31,5.52,,,,5.45,31.67,,35.35,39F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721932,        2018NL033,,20185400033,18,4,2018,12,56,55.25917,6.57217,10,24,2405,,,2,3.141592654,1,0.78533795,EMD,Valeport,6643,8.83,5217,8.69,2363.488109,,f,0,37,42,5.5,,,,5.23,34.63,,34.86,39F6,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721933,        2018NL034,,20185400034,18,4,2018,14,18,55.25183,6.2225,14,6,2919,,,2,3.141592654,1,1.007925011,EMD,Valeport,11735,8.83,11828,8.69,4175.151732,,f,0,44,49,6.2,,,,6.39,32.71,,34.95,39F6,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721934,        2018NL035,,20185400035,18,4,2018,15,27,55.2415,5.71733,14,12,1392,,,2,3.141592654,1,0.97674209,EMD,Valeport,11093,8.83,10835,8.69,3946.736955,,f,0,42,47,6.02,,,,5.81,36.8,,35,39F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721935,        2018NL036,,20185400036,18,4,2018,16,52,55.24133,5.22533,11,18,1304,,,2,3.141592654,1,1.023594602,EMD,Valeport,11189,8.83,11453,8.69,3980.892436,,f,0,37,42,5.99,,,,5.98,34.83,,34.67,39F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721936,        2018NL037,,20185400037,18,4,2018,18,12,54.8345,4.86883,16,24,1929,,,2,3.141592654,1,1.028765831,EMD,Valeport,14844,8.83,15271,8.69,5281.291207,,f,0,38,44,6.57,,,,6.58,35.23,,34.32,38F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721937,        2018NL038,,20185400038,18,4,2018,20,39,54.74267,5.27433,12,30,1665,,,2,3.141592654,1,1.026890198,EMD,Valeport,12049,8.83,12373,8.69,4286.868617,,f,0,40,45,6.89,,,,6.97,34.6,,33.71,38F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721938,        2018NL039,,20185400039,18,4,2018,21,51,54.7505,5.76983,10,24,1297,,,2,3.141592654,1,1.040334628,EMD,Valeport,10041,8.83,10446,8.69,3572.449812,,f,0,38,44,6.6,,,,5.97,34.24,,34.26,38F5,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721939,        2018NL040,,20185400040,19,4,2018,23,16,54.75033,6.27233,10,30,961,,,2,3.141592654,1,1.022509579,EMD,Valeport,8352,8.83,8540,8.69,2971.526823,,f,0,35,41,6.55,,,,5.81,34.35,,34.46,38F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721940,        2018NL041,,20185400041,19,4,2018,0,38,54.74183,6.71883,12,6,1023,,,2,3.141592654,1,0.99887693,EMD,Valeport,10685,8.83,10673,8.69,3801.576162,,f,0,36,42,5.83,,,,5.85,35.13,,34.66,38F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721941,        2018NL042,,20185400042,19,4,2018,2,1,54.67217,7.0345,14,6,1051,,,2,3.141592654,1,0.589178026,EMD,Valeport,12105,8.83,7132,8.69,4306.792647,,f,0,29,34,4.87,,,,4.88,34.87,,34.5,38F7,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721942,        2018NL043,,20185400043,19,4,2018,3,8,54.34233,7.13717,14,12,1789,,,2,3.141592654,1,0.56926933,EMD,Valeport,13166,8.83,7495,8.69,4684.281867,,f,0,36,41,6.1,,,,6.38,33.71,,33.23,37F7,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721943,        2018NL044,,20185400044,19,4,2018,4,59,54.243,6.70533,17,18,2348,,,2,3.141592654,1,1.006322445,EMD,Valeport,17082,8.83,17190,8.69,6077.540851,,f,0,32,37,6.12,,,,6.31,33.84,,33.53,37F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721944,        2018NL045,,20185400045,19,4,2018,6,17,54.23417,6.23833,17,54,3465,,,2,3.141592654,1,1.017865143,EMD,Valeport,17856,8.83,18175,8.69,6352.919414,,f,0,33,38,6.62,,,,6.53,33.88,,33.39,37F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721945,        2018NL050,,20185400050,19,4,2018,9,17,54.22417,5.7085,10,18,700,,,2,3.141592654,1,0.997369023,EMD,Valeport,8742,8.83,8719,8.69,3110.283463,,f,0,34,40,7.38,,,,7.22,32.25,,32.66,37F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721946,        2018NL051,,20185400051,19,4,2018,10,36,54.24333,5.25767,10,18,1052,,,2,3.141592654,1,1.02307145,EMD,Valeport,9839,8.83,10066,8.69,3500.580988,,f,0,37,43,7.37,,,,7.23,33.66,,33.25,37F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721947,        2018NL052,,20185400052,19,4,2018,12,2,54.24217,4.708,10,18,1102,,,2,3.141592654,1,1.017321937,EMD,Valeport,8775,8.83,8927,8.69,3122.02441,,f,0,42,47,7.05,,,,6.73,18.89,,33.68,37F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721948,        2018NL053,,20185400053,19,4,2018,13,33,54.24033,4.22433,10,48,4395,,,2,3.141592654,1,1.025248428,EMD,Valeport,9862,8.83,10111,8.69,3508.764072,,f,0,45,50,7.15,,,,6.77,36.16,,35.12,37F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721949,        2018NL054,,20185400054,19,4,2018,14,53,54.15583,3.84317,10,42,1194,,,2,3.141592654,1,1.03119171,EMD,Valeport,9650,8.83,9951,8.69,3433.337385,,f,0,41,46,6.46,,,,6.16,36.19,,35.02,37F3,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721950,        2018NL055,,20185400055,19,4,2018,16,2,53.8245,3.85017,12,54,1134,,,2,3.141592654,1,1.021733298,EMD,Valeport,11181,8.83,11424,8.69,3978.046145,,f,0,35,40,7.47,,,,7.11,35.73,,36.4,36F3,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721951,        2018NL056,,20185400056,19,4,2018,17,38,53.652,4.15017,14,0,3022,,,2,3.141592654,1,1.026225145,EMD,Valeport,12774,8.83,13109,8.69,4544.813654,,f,0,35,40,7.61,,,,7.41,35.5,,34.61,36F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721952,        2018NL057,,20185400057,19,4,2018,18,57,53.32633,3.83533,11,42,911,,,2,3.141592654,1,1.024170662,EMD,Valeport,10219,8.83,10466,8.69,3635.779766,,f,0,23,28,7.38,,,,7.38,35.31,,35.15,35F3,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721953,        2018NL058,,20185400058,19,4,2018,20,46,53.23367,3.37,11,30,1486,,,2,3.141592654,1,1.0311422,EMD,Valeport,10436,8.83,10761,8.69,3712.985384,,f,0,20,26,6.7,,,,6.72,33.11,,34.91,35F3,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721954,        2018NL059,,20185400059,19,4,2018,22,21,52.81,3.35667,13,6,1580,,,2,3.141592654,1,0.44779639,EMD,Valeport,12298,8.83,5507,8.69,4375.459395,,f,0,36,42,8.29,,,,8.26,37.1,,36.12,34F3,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721955,        2018NL060,,20185400060,20,4,2018,0,12,52.65133,3.693,12,48,1589,,,2,3.141592654,1,0.121152865,EMD,Valeport,11762,8.83,1425,8.69,4184.757961,,f,0,23,29,7.91,,,,7.9,35.13,,35.2,34F3,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721956,        2018NL061,,20185400061,20,4,2018,1,37,52.3265,3.722,11,48,1011,,,2,3.141592654,1,0.108847674,EMD,Valeport,9867,8.83,1074,8.69,3510.543003,,f,0,23,29,8.04,,,,7.94,35.96,,35.26,33F3,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721908,        2018NL062,,20185400062,20,4,2018,3,12,52.26817,3.39167,11,24,5142,,,2,3.141592654,1,0.118097034,EMD,Valeport,9543,8.83,1127,8.69,3395.268256,,f,0,29,34,7.95,,,,7.95,35.01,,34.88,33F3,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748720,        2019NL001,,20195400101,15,4,2019,9,51,52.27417,4.25267,12,48,1550,,,2,3.141592654,1,0.602616517,EMD,Valeport,9784,8.15,5896,8.54,3771.453071,,f,0,14,20,8.63,,,,8.61,30.91,,31.06,33F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748721,        2019NL002,,20195400102,15,4,2019,12,0,52.767,4.25183,15,6,2006,,,2,3.141592654,1,0.172722829,EMD,Valeport,12274,8.15,2120,8.54,4731.277084,,f,0,21,26,8.51,,,,8.52,33.55,,33.72,34F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748722,        2019NL003,,20195400103,15,4,2019,14,5,53.15233,4.425,12,6,1238,,,2,3.141592654,1,0.186198356,EMD,Valeport,8883,8.15,1654,8.54,3424.143257,,f,0,23,30,8.86,,,,8.42,32,,33.25,35F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748789,        2019NL004,,20195400104,15,4,2019,15,14,53.335,4.60533,,,859,,,2,3.141592654,1,0.235369775,EMD,Valeport,6220,8.15,1464,8.54,2397.632676,,f,0,22,27,8.62,,,,8.43,33.2,,33.3,35F4,Registration of haul duration was incorrect,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748719,        2019NL005,,20195400105,15,4,2019,17,14,53.652,4.87283,11,48,752,,,2,3.141592654,1,0.477594728,EMD,Valeport,6070,8.15,2899,8.54,2339.811952,,f,0,26,31,8,,,,7.88,34.34,,34.36,36F4,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748725,        2019NL006,,20195400106,15,4,2019,18,41,53.75167,5.25517,10,54,936,,,2,3.141592654,1,1.123526638,EMD,Valeport,8484,8.15,9532,8.54,3270.340132,,f,0,27,33,8.38,,,,8.06,33.85,,34.28,36F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748726,        2019NL007,,20195400107,15,4,2019,20,39,53.741,5.74,12,18,991,,,2,3.141592654,1,1.089031621,EMD,Valeport,10120,8.15,11021,8.54,3900.971492,,f,0,24,28,8.35,,,,8.13,33.83,,34.36,36F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748727,        2019NL008,,20195400108,15,4,2019,22,59,53.72017,6.30867,11,36,694,,,2,3.141592654,1,1.107430813,EMD,Valeport,9178,8.15,10164,8.54,3537.857347,,f,0,20,25,8.15,,,,8.15,32.75,,33.03,36F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748728,        2019NL009,,20195400109,16,4,2019,0,34,53.77633,6.7525,11,12,522,,,2,3.141592654,1,1.173079466,EMD,Valeport,7563,8.15,8872,8.54,2915.320889,,f,0,12,16,7.79,,,,7.78,32.55,,32.59,36F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748729,        2019NL010,,20195400110,16,4,2019,2,15,53.8535,7.25033,12,30,845,,,2,3.141592654,1,1.068946972,EMD,Valeport,9297,8.15,9938,8.54,3583.728455,,f,0,19,25,7.36,,,,7.6,32.32,,33.23,36F7,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748730,        2019NL011,,20195400111,16,4,2019,5,23,54.25083,7.64133,12,36,733,,,2,3.141592654,1,1.109157762,EMD,Valeport,8703,8.15,9653,8.54,3354.758389,,f,0,36,41,7.19,,,,7.21,32.7,,33.69,37F7,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748735,        2019NL016,,20195400116,16,4,2019,9,4,54.70983,7.5085,11,42,1172,,,2,3.141592654,1,1.096692419,EMD,Valeport,8284,8.15,9085,8.54,3193.245834,,f,0,18,24,7.17,,,,7.09,30.76,,32.28,38F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748736,        2019NL017,,20195400117,16,4,2019,11,36,55.25867,7.63583,12,18,1267,,,2,3.141592654,1,1.0752037,EMD,Valeport,9082,8.15,9765,8.54,3500.852084,,f,0,20,25,7.29,,,,7.14,31.74,,33.08,39F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748737,        2019NL018,,20195400118,16,4,2019,13,37,55.68817,7.4395,12,18,1435,,,2,3.141592654,1,1.053961749,EMD,Valeport,10248,8.15,10801,8.54,3950.311843,,f,0,13,18,7.71,,,,7.33,31.84,,33.37,40F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748738,        2019NL019,,20195400119,16,4,2019,14,27,55.752,7.23367,11,24,1030,,,2,3.141592654,1,1.057667412,EMD,Valeport,8497,8.15,8987,8.54,3275.351261,,f,0,23,30,7.54,,,,7.28,33.06,,33.83,40F7,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748739,        2019NL020,,20195400120,16,4,2019,15,54,55.75583,6.75567,11,18,1034,,,2,3.141592654,1,1.046675774,EMD,Valeport,8784,8.15,9194,8.54,3385.981579,,f,0,30,36,7.51,,,,6.92,33.9,,34.74,40F6,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748740,        2019NL021,,20195400121,16,4,2019,17,25,55.74283,6.23633,16,0,1410,,,2,3.141592654,1,1.053064744,EMD,Valeport,12758,8.15,13435,8.54,4917.845286,,f,0,40,46,7.16,,,,7.09,34.79,,34.75,40F6,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748741,        2019NL022,,20195400122,16,4,2019,19,5,55.68833,5.7425,13,12,1053,,,2,3.141592654,1,1.062300955,EMD,Valeport,10048,8.15,10674,8.54,3873.217544,,f,0,45,51,7.04,,,,6.9,34.71,,34.74,40F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748742,        2019NL023,,20195400123,16,4,2019,20,31,55.5675,5.30683,12,36,1102,,,2,3.141592654,1,1.054616112,EMD,Valeport,9521,8.15,10041,8.54,3670.074069,,f,0,44,49,7.09,,,,7.06,34.77,,34.79,40F5,,d
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748743,        2019NL024,,20195400124,16,4,2019,22,13,55.32133,4.92317,10,54,1041,,,2,3.141592654,1,1.057813453,EMD,Valeport,9842,8.15,10411,8.54,3793.810417,,f,0,43,49,7.2,,,,7.21,34.76,,34.76,39F4,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748744,        2019NL025,,20195400125,16,4,2019,23,21,55.24217,5.257,17,18,1403,,,2,3.141592654,1,1.058525219,EMD,Valeport,14592,8.15,15446,8.54,5624.800001,,f,0,36,42,7.28,,,,7.29,34.79,,34.79,39F5,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748745,        2019NL026,,20195400126,17,4,2019,0,58,55.251,5.7535,10,42,988,,,2,3.141592654,1,1.061283115,EMD,Valeport,9399,8.15,9975,8.54,3623.046547,,f,0,42,47,7.07,,,,7.07,34.71,,34.71,39F5,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748746,        2019NL027,,20195400127,17,4,2019,2,34,55.26767,6.18433,16,24,1287,,,2,3.141592654,1,1.091925048,EMD,Valeport,11901,8.15,12995,8.54,4587.496218,,f,0,44,49,7.21,,,,7.07,34.61,,34.68,39F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748747,        2019NL028,,20195400128,17,4,2019,4,48,55.057,6.81933,14,18,1375,,,2,3.141592654,1,1.094193818,EMD,Valeport,9576,8.15,10478,8.54,3691.275001,,f,0,35,38,7.4,,,,7.1,32.37,,34.52,39F6,,n
EH,I5034 ,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,748748,        2019NL029,,20195400129,17,4,2019,6,4,55.00133,7.192,10,36,1062,,,2,3.141592654,1,1.103623387,EMD,Valeport,7286,8.15,8041,8.54,2808.545286,,f,0,26,32,7.32,,,,7.32,31.75,,33.44,39F7,,n
